hayvan	baba	ana	byil	bay	byas	sver305
900141	860078	830011	1992	4	26	4500
900149	860043	880101	1992	5	27	4980
900155	4133	861256	1992	4	26	4224
900162	850201	860431	1992	7	29	4500
900165	4152	870057	1992	8	30	4345
900166	850208	2526	1992	8	30	4096
900172	4050	830266	1992	5	26	3569
900179	860035	880118	1992	5	26	4595
900186	4152	850641	1992	7	28	2965
900189	850208	860762	1992	6	27	4000
900196	850208	860125	1992	4	25	3870
900198	860035	880071	1992	5	26	4861
900199	850208	851085	1992	11	32	4508
900202	860078	841102	1992	7	28	4130
900206	860043	870954	1992	6	27	5150
900214	850208	820162	1992	6	27	4632
900218	850201	870290	1992	6	27	4743
900221	850208	851107	1992	7	28	5020
900222	860061	861305	1992	8	29	4140
900227	860043	870946	1992	6	27	4228
900234	860208	840547	1992	7	28	2963
900237	850208	830496	1992	5	26	5242
900238	850201	850244	1992	6	27	2445
900242	850208	870200	1992	6	27	3570
900251	860026	880079	1992	8	28	5126
900254	860078	830424	1992	8	28	3747
900257	4133	840811	1992	6	26	4165
900260	860078	851055	1992	6	26	3430
900263	860026	880102	1992	9	29	4979
900264	860061	870410	1992	7	27	4322
900265	860026	870888	1992	6	26	4658
900267	850208	850152	1992	9	29	4220
900273	850208	850328	1992	7	27	4125
900276	860078	870596	1992	8	28	3898
900280	850208	820419	1992	8	28	4036
900284	850208	850982	1992	9	29	3407
900286	860041	880247	1992	6	26	4333
900288	860026	880234	1992	6	26	4700
900296	860078	851127	1992	7	27	4179
900297	860026	870953	1992	8	28	4261
900299	850208	870519	1992	6	26	4298
900302	850201	830465	1992	6	26	4075
900304	850208	851179	1992	7	27	4183
900308	850201	870204	1992	7	27	4203
900312	850208	840680	1992	8	28	3920
900319	850208	850877	1992	6	26	4764
900324	860078	830418	1992	6	26	4505
900326	860026	870766	1992	6	26	4558
900328	860035	880142	1992	6	26	5610
900329	850208	870264	1992	9	29	4070
900338	850208	870077	1992	6	25	4460
900350	860078	860629	1992	6	25	4620
900366	860041	880052	1992	9	28	2847
900377	850208	870098	1992	6	25	3670
900380	850208	870301	1992	8	27	4530
900383	860043	880173	1992	6	25	4816
900387	860078	860335	1992	7	26	3573
900389	850208	861061	1992	10	29	4033
900400	860035	880166	1992	8	27	3343
900402	860061	870657	1992	7	26	4087
900403	860043	880395	1992	7	26	6152
900405	850208	830241	1992	7	26	3886
900413	860078	850926	1992	10	29	3786
900415	860043	880146	1992	10	29	4541
900422	850208	830453	1992	8	26	3250
900424	850201	870138	1992	10	28	3354
900427	850201	840928	1992	10	28	4840
900433	860026	880137	1992	8	26	3226
900440	850201	850699	1992	8	26	3505
900443	850201	870141	1992	9	27	3461
900444	850201	870087	1992	8	26	4533
900446	860026	880014	1992	12	30	4687
900450	860078	860304	1992	9	27	4447
900458	860043	880020	1992	9	27	5728
900461	860054	861239	1992	10	28	4468
900463	860026	880160	1992	10	28	3396
900466	850201	851186	1993	4	34	5093
900471	860061	1332	1992	10	28	3671
900476	860078	870675	1992	10	28	4698
900477	860081	870034	1992	8	26	4759
900488	860078	840558	1992	8	26	4182
900490	860054	820310	1992	7	25	2813
900492	860078	1826	1992	8	26	5782
900496	860043	880168	1992	8	26	4151
900499	860081	850633	1992	8	25	4072
900502	860078	870279	1992	10	27	5192
900503	860061	820338	1992	10	27	3827
900510	860078	860327	1992	8	25	4970
900511	860078	861174	1992	12	29	4654
900516	850208	860097	1992	11	28	4920
900518	860081	2718	1992	11	28	3655
900525	860061	820312	1992	7	24	4920
900528	860078	850090	1992	7	24	4421
900529	860061	860084	1992	8	25	4209
900530	850208	860087	1992	10	27	4265
900534	860078	870335	1992	9	26	4562
900535	850208	851129	1992	10	27	4766
900537	860054	830174	1992	10	27	4020
900543	860061	830139	1992	11	28	3681
900545	850208	850850	1993	1	30	5286
900559	850208	841162	1992	8	25	4147
900561	850201	851163	1992	10	27	4569
900566	850208	860142	1992	8	25	4193
900571	850201	841027	1992	10	27	3996
900572	850201	851042	1992	12	29	4342
900585	850201	820051	1992	11	27	4161
900593	850201	841181	1992	10	26	4306
900595	850201	860614	1992	7	23	4467
900599	860061	860521	1992	10	26	2125
900602	860026	880205	1992	10	26	4686
900605	860078	860088	1992	10	26	4478
900611	860078	860892	1993	9	37	7310
900621	860054	850013	1992	9	25	3500
900623	860078	850300	1992	10	26	3940
900626	860078	840236	1992	10	26	3576
900628	860078	840009	1992	12	28	4384
900636	860026	880711	1992	12	28	4467
900644	860054	2738	1992	10	26	3288
900647	850201	841079	1992	10	26	4372
900657	850201	860052	1993	1	29	4620
900660	850201	860196	1993	1	29	3127
900661	850201	851045	1992	11	27	4380
900667	860041	880246	1992	10	25	4530
900680	850201	830022	1992	10	25	4128
900687	860041	880384	1992	12	27	5210
900689	850201	830310	1992	10	25	5388
900700	860054	840124	1992	10	25	4865
900701	860026	880307	1992	5	20	6012
900702	860041	880195	1992	12	27	3496
900704	850201	870182	1992	10	25	4800
900708	860078	820395	1992	12	27	4924
900719	860061	2403	1992	10	25	4174
900722	860190	850861	1992	10	25	3507
900723	4167	860001	1992	12	27	4965
900725	860078	840649	1992	10	25	3770
900736	860078	820292	1992	12	27	3235
900742	4167	861237	1992	12	27	4079
900744	4167	861294	1993	2	29	4427
900746	860041	880522	1992	11	26	4381
900750	4167	860643	1993	1	27	5058
900752	4167	850628	1992	10	24	4491
900757	860061	880563	1992	12	26	3842
900762	860190	870403	1993	1	27	5788
900766	4020	820055	1993	1	27	3956
900769	860078	840660	1993	2	28	4306
900771	4167	850893	1992	11	25	4486
900773	3978	840766	1992	10	24	3595
900778	850201	2291	1992	12	26	3714
900780	850201	830259	1992	12	26	3858
900781	860071	841064	1993	3	29	4877
900782	860035	880485	1993	2	28	5890
900784	860078	850779	1992	12	26	5478
900785	850201	2774	1992	12	26	4171
900795	870228	820172	1992	12	26	5602
900796	860078	840083	1993	1	27	4891
900797	860078	2438	1992	12	26	4080
900798	860078	2283	1993	2	28	5042
900799	860043	880475	1993	4	30	5235
900801	850201	860523	1993	1	27	4320
900803	850201	870053	1993	3	29	2065
900806	870228	2269	1992	12	26	4259
900811	4167	870813	1993	2	28	4987
900815	860035	850238	1993	2	28	5028
900817	860078	870468	1992	12	26	4907
900833	850201	830187	1993	1	26	5235
900839	860071	1725	1993	1	26	2936
900841	850201	830385	1993	2	27	5178
900844	4020	850907	1993	3	28	4597
900848	860078	851110	1993	1	26	4539
900853	860078	870515	1993	1	26	5210
900855	860071	870024	1993	3	28	5586
900856	860035	880814	1993	4	29	5652
900857	860054	1971	1992	12	25	4033
900859	4020	870849	1993	2	27	5950
900869	850201	850520	1993	2	27	4125
900872	4204	870858	1993	1	26	4892
900873	850201	870199	1993	1	26	5691
900878	860061	880472	1994	1	38	5239
900880	860043	880402	1993	3	28	4750
900881	850201	830056	1993	1	26	4690
900883	860071	830105	1992	12	25	4900
900884	870228	840363	1993	2	27	4748
900889	870228	840014	1993	1	26	3803
900893	860071	870725	1993	5	30	5804
900897	850201	850673	1993	2	27	4195
900900	3978	850367	1993	2	27	5080
900910	4204	850862	1992	12	25	5402
900912	3978	860839	1993	3	28	5462
900913	860190	840070	1993	2	27	5565
900916	3970	860911	1993	1	25	5270
900917	860061	880724	1993	4	28	5586
900918	4096	850525	1993	1	25	5658
900920	860190	840395	1993	3	27	4915
900925	4167	870101	1993	1	25	4585
900928	4096	870042	1993	4	28	4445
900932	3970	860779	1993	1	25	5024
900933	4050	830422	1993	3	27	3813
900938	860071	3232	1993	1	25	5288
900939	860041	880373	1993	1	25	4043
910003	3978	2868	1993	2	25	6102
910006	860026	870524	1993	2	25	5719
910010	870228	880251	1993	3	26	5840
910012	4020	870799	1993	1	24	4915
910014	860071	830427	1993	5	28	5364
910015	860035	861238	1993	3	26	4860
910017	4050	870706	1993	5	28	5596
910021	3970	870146	1993	3	26	6056
910022	860054	870877	1993	3	26	5722
910023	4096	830211	1993	3	26	6462
910025	4020	880104	1993	3	26	4294
910031	860078	850945	1993	1	24	4281
910035	860071	860331	1993	3	26	5005
910037	4050	880016	1993	3	26	4509
910040	870228	860818	1993	4	27	3596
910044	850201	870399	1993	5	28	4901
910056	870228	840011	1993	4	27	2866
910067	860081	880032	1993	5	28	4610
910068	850201	841152	1993	5	28	4116
910071	860190	870106	1993	4	27	5228
910077	3970	880102	1993	4	27	5509
910084	860041	880777	1993	3	25	3638
910086	3970	870930	1993	5	27	3840
910100	860078	880017	1993	8	30	5284
910101	860061	880347	1993	4	26	4044
910105	850201	880101	1993	8	30	4020
910107	860071	851044	1993	8	30	4249
910116	860071	851055	1993	6	28	5180
910117	870228	870249	1993	5	27	5257
910118	850201	880110	1993	7	29	4945
910119	850201	830268	1993	5	27	4728
910120	850201	880049	1993	5	27	4234
910122	870228	860244	1993	5	27	5058
910127	860071	880094	1993	7	29	4930
910128	870228	870903	1993	9	31	5637
910131	860035	850328	1993	3	25	6372
910134	860054	840976	1993	5	27	3660
910135	860071	860781	1993	7	29	5175
910143	860071	880124	1993	5	27	4829
910145	860035	880939	1993	5	27	5930
910150	4204	880070	1993	9	31	6889
910160	860071	870216	1993	5	27	5745
