"Run_ID"	"Orig_ID"	"Tr"	"Solution"	"Inbreeding"
1872	930386	1	425.2927	0
1105	890700	1	425.01916	0
1042	890437	1	423.24286	0
990	890216	1	419.56368	0
1642	920007	1	418.1769	0
456	860097	1	415.49059	0
1976	930838	1	413.64197	0
1255	900263	1	411.84512	0
1767	920668	1	411.25113	0
1417	900910	1	411.2231	0
2178	940669	1	408.3978	0
995	890235	1	407.1614	0
1200	900079	1	406.48861	0
1955	930762	1	405.76751	0
1618	910793	1	403.67912	0
1380	900782	1	402.86684	0
1570	910598	1	402.46982	0
1339	900602	1	402.40037	0
2175	940664	1	401.80988	0
80	4020	1	398.00563	0
1764	920654	1	397.98951	0
1640	920002	1	397.93197	0
1153	890843	1	397.52632	0
1189	900047	1	397.40876	0
1624	910810	1	396.69032	0
2151	940597	1	396.53141	0
2147	940578	1	395.22175	0
513	860892	1	394.30674	0
1909	930608	1	393.59062	0
2227	950007	1	392.72876	0
1760	920620	1	392.4548	0
1906	930598	1	392.41377	0
1002	890256	1	392.28165	0
1923	930669	1	392.00891	0
883	880814	1	391.53112	0
1431	901008	1	390.10339	0
1934	930699	1	388.58569	0
1165	890898	1	385.76524	0
1593	910697	1	384.58882	0
1177	890955	1	383.90553	0
1783	920758	1	383.62093	0
1539	910417	1	382.19635	0
2077	940204	1	381.74097	0
2096	940291	1	381.6719	0
2190	940708	1	381.38011	0
2144	940557	1	379.35134	0
2000	930903	1	377.16539	0
2269	950156	1	374.59852	0
588	870287	1	374.38487	0
1761	920627	1	373.51397	0
941	890054	1	371.03298	0
1419	900913	1	371.03252	0
420	851129	1	370.8892	0
1947	930736	1	369.12313	0
1800	930003	1	368.70736	0
1178	890958	1	368.6801	0
1108	890706	1	365.43532	0
1755	920600	1	365.09564	0
2139	940500	1	364.86171	0
1938	930712	1	364.36883	0
2012	940010	1	363.92913	0
1035	890385	1	363.18349	0
996	890236	1	362.80384	0
1527	910340	1	362.61326	0
1727	920489	1	360.51881	0
1181	900023	1	358.95185	0
1486	910185	1	358.6172	0
1404	900859	1	358.4445	0
1828	930148	1	358.03689	0
870	880743	1	357.90607	0
1081	890620	1	357.88024	0
1547	910473	1	356.97081	0
1774	920707	1	356.30314	0
1135	890787	1	356.29546	0
1902	930585	1	355.96953	0
1082	890627	1	355.92902	0
1565	910570	1	355.69606	0
1117	890737	1	355.2176	0
1552	910484	1	354.94982	0
1509	910266	1	354.578	0
1880	930447	1	353.12144	0
1242	900229	1	351.83804	0
1557	910518	1	351.33945	0
1470	910122	1	350.75427	0
1874	930398	1	348.9722	0
1056	890502	1	347.68109	0
1076	890594	1	345.83075	0
1432	901009	1	345.61194	0
1871	930384	1	345.43424	0
2207	940770	1	345.38026	0
1222	900149	1	344.97527	0
2192	940715	1	344.62329	0
2063	940143	1	343.96383	0
1778	920730	1	343.64387	0
2109	940319	1	342.99106	0
1375	900771	1	342.83315	0
844	880652	1	341.58649	0
1482	910172	1	341.45005	0
1992	930881	1	341.28322	0
999	890248	1	340.24651	0
2224	950004	1	339.75812	0
1808	930055	1	339.63796	0
1434	910006	1	339.22086	0
2110	940320	1	338.30282	0
1524	910325	1	338.22834	0
1916	930640	1	338.21121	0
594	870333	1	337.89254	0
2140	940517	1	337.31365	0
1915	930639	1	335.1437	0
1233	900198	1	334.49721	0
1775	920711	1	333.99029	0
890	880830	1	333.82073	0
998	890246	1	332.30161	0
430	860001	1	331.94151	0
2035	940064	1	331.54093	0
1851	930287	1	329.87089	0
1276	900326	1	329.69005	0
1860	930332	1	329.31972	0
1154	890848	1	329.09038	0
1844	930254	1	327.80453	0
1148	890827	1	327.67326	0
1192	900053	1	327.00909	0
1631	910832	1	326.03006	0
238	840580	1	325.93574	0
971	890145	1	325.7953	0
2170	940650	1	322.60163	0
1360	900708	1	322.57442	0
1190	900050	1	321.14881	0
1896	930562	1	321.00909	0
1531	910368	1	319.45766	0
1479	910160	1	319.44246	0
1699	920346	1	318.89667	0
1187	900043	1	317.37462	0
1890	930514	1	316.32695	0
1883	930456	1	316.085	0
1143	890814	1	315.48538	0
311	850206	1	315.29938	0
1005	890262	1	314.44247	0
1414	900893	1	311.54421	0
1433	910003	1	310.73104	0
1180	900018	1	310.60718	0
